uniform_mix,entropy_lambda,concentration_penalty_lambda,max_weight,hedge_allocation,feasible,max_domain_exposure,baseline_holdout_capital_gain,pm_holdout_capital_gain,combined_holdout_capital_gain,excess_vs_baseline_pm_only,excess_vs_baseline_combined
0.0,0.02,40.0,0.14,0.0,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.024869281888566297,-0.003597129619214323,-0.003597129619214323
0.0,0.02,40.0,0.14,0.15,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.021338756701561934,-0.003597129619214323,-0.007127654806218686
0.0,0.02,40.0,0.14,0.3,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.017737543512265086,-0.003597129619214323,-0.010728867995515534
0.0,0.02,40.0,0.14,0.45,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.014065729314351794,-0.003597129619214323,-0.014400682193428826
0.0,0.02,40.0,0.22,0.0,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.024869281888566297,-0.003597129619214323,-0.003597129619214323
0.0,0.02,40.0,0.22,0.15,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.021338756701561934,-0.003597129619214323,-0.007127654806218686
0.0,0.02,40.0,0.22,0.3,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.017737543512265086,-0.003597129619214323,-0.010728867995515534
0.0,0.02,40.0,0.22,0.45,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.014065729314351794,-0.003597129619214323,-0.014400682193428826
0.1,0.0,12.0,0.14,0.0,True,0.1020001545548439,0.02846641150778062,0.18203738050623164,0.18203738050623164,0.15357096899845102,0.15357096899845102
0.1,0.0,12.0,0.14,0.15,True,0.1020001545548439,0.02846641150778062,0.18203738050623164,0.15478041051882108,0.15357096899845102,0.12631399901104046
0.1,0.0,12.0,0.14,0.3,True,0.1020001545548439,0.02846641150778062,0.18203738050623164,0.1275062479132949,0.15357096899845102,0.09903983640551428
0.1,0.0,12.0,0.14,0.45,True,0.1020001545548439,0.02846641150778062,0.18203738050623164,0.10021490975630587,0.15357096899845102,0.07174849824852525
0.1,0.0,12.0,0.22,0.0,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.1823894841615019,0.1539230726537213,0.1539230726537213
0.1,0.0,12.0,0.22,0.15,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.15507916306438907,0.1539230726537213,0.12661275155660845
0.1,0.0,12.0,0.22,0.3,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.12775183845583493,0.1539230726537213,0.09928542694805431
0.1,0.0,12.0,0.22,0.45,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.1004075273483116,0.1539230726537213,0.07194111584053098
0.1,0.0,40.0,0.14,0.0,True,0.09932500123977661,0.02846641150778062,0.17443864114715169,0.17443864114715169,0.14597222963937106,0.14597222963937106
0.1,0.0,40.0,0.14,0.15,True,0.09932500123977661,0.02846641150778062,0.17443864114715169,0.1483607958940214,0.14597222963937106,0.11989438438624078
0.1,0.0,40.0,0.14,0.3,True,0.09932500123977661,0.02846641150778062,0.17443864114715169,0.12225188632740647,0.14597222963937106,0.09378547481962585
0.1,0.0,40.0,0.14,0.45,True,0.09932500123977661,0.02846641150778062,0.17443864114715169,0.09611192704745664,0.14597222963937106,0.06764551553967602
0.1,0.0,40.0,0.22,0.0,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.1823894841615019,0.1539230726537213,0.1539230726537213
0.1,0.0,40.0,0.22,0.15,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.15507916306438907,0.1539230726537213,0.12661275155660845
0.1,0.0,40.0,0.22,0.3,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.12775183845583493,0.1539230726537213,0.09928542694805431
0.1,0.0,40.0,0.22,0.45,True,0.10203437507152557,0.02846641150778062,0.1823894841615019,0.1004075273483116,0.1539230726537213,0.07194111584053098
0.1,0.02,12.0,0.14,0.0,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.027363566161626718,-0.0011028453461539023,-0.0011028453461539023
0.1,0.02,12.0,0.14,0.15,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.023459613628544096,-0.0011028453461539023,-0.005006797879236524
0.1,0.02,12.0,0.14,0.3,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.0194846443829777,-0.0011028453461539023,-0.00898176712480292
0.1,0.02,12.0,0.14,0.45,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.015438794058283634,-0.0011028453461539023,-0.013027617449496987
0.1,0.02,12.0,0.22,0.0,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.027363566161626718,-0.0011028453461539023,-0.0011028453461539023
0.1,0.02,12.0,0.22,0.15,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.023459613628544096,-0.0011028453461539023,-0.005006797879236524
0.1,0.02,12.0,0.22,0.3,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.0194846443829777,-0.0011028453461539023,-0.00898176712480292
0.1,0.02,12.0,0.22,0.45,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.015438794058283634,-0.0011028453461539023,-0.013027617449496987
0.1,0.02,40.0,0.14,0.0,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.027363566161626718,-0.0011028453461539023,-0.0011028453461539023
0.1,0.02,40.0,0.14,0.15,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.023459613628544096,-0.0011028453461539023,-0.005006797879236524
0.1,0.02,40.0,0.14,0.3,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.0194846443829777,-0.0011028453461539023,-0.00898176712480292
0.1,0.02,40.0,0.14,0.45,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.015438794058283634,-0.0011028453461539023,-0.013027617449496987
0.1,0.02,40.0,0.22,0.0,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.027363566161626718,-0.0011028453461539023,-0.0011028453461539023
0.1,0.02,40.0,0.22,0.15,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.023459613628544096,-0.0011028453461539023,-0.005006797879236524
0.1,0.02,40.0,0.22,0.3,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.0194846443829777,-0.0011028453461539023,-0.00898176712480292
0.1,0.02,40.0,0.22,0.45,True,0.025316309183835983,0.02846641150778062,0.027363566161626718,0.015438794058283634,-0.0011028453461539023,-0.013027617449496987
