trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,fee_rate,dd_penalty,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
73,0.011485833062210493,0.000651307033736009,48,256,0.004207440419122577,0.06607962097041309,0.1,8,4.435249691752182,0.08546290885657072,0.01,0.0,-0.0002686703390510231,0.041960000287762055,-0.0023666703534391256
68,0.024951027624725546,0.0009800126523262264,48,512,0.009603293193504215,0.06214086329564453,0.1,16,32.50757464412285,0.07918764423578978,0.005,0.0,-0.00019500292362423469,0.06526525967114279,-0.003458265907181374
72,0.04784274007227018,0.0008301957456402578,48,512,0.03491574330255389,0.07755411765538156,0.1,16,16.896766924432033,0.07285521008074283,0.005,0.0,-0.0002539658869013347,0.07400841285588648,-0.003954386529695659
74,0.017065318896132217,0.0008500975277004363,48,512,0.03781864852644504,0.08859339775517583,0.1,16,7.902998043421037,0.09787127397954465,0.0,0.0,0.00018296167090981166,0.03678145509041406,-0.0016561110836108917
76,0.02834368111302353,0.0007645184838727929,48,512,0.04323342363350094,0.06493943897075952,0.1,8,6.164281254651932,0.06875289000570774,0.01,0.0,-0.0003355958080899021,0.046599275270888724,-0.0026655595716343385
78,0.010534822961223853,0.0009259417459952662,96,256,0.03403282854706049,0.05097042061388493,0.1,8,14.486777094187055,0.08377017579972744,0.01,0.0,-0.00013148389570391832,0.0266483567254737,-0.0014639017319776034
77,0.016050320993760647,0.0006046869919914632,48,512,0.023844088148325684,0.07875762344338,0.1,16,27.136608705695416,0.09136179875582456,0.0,0.0,0.00016587387156156665,0.04028734012096706,-0.0018484931344867866
75,0.032600056432163294,0.0005436293233035242,24,512,0.020104734040796757,0.05524404561147094,0.1,16,47.34392113766227,0.06044180985540151,0.0,0.0,0.00010773717119660666,0.03866405523505938,-0.0018254655905563623
79,0.04265810054646738,0.000584157013901443,48,256,0.001844429085031152,0.09291356187313796,0.1,16,2.314183532140444,0.07633947785943747,0.005,0.0,-0.0005469062068083696,0.1343717819672613,-0.007265495305171434
81,0.012446933096039146,0.0005081671107778992,48,256,0.04882437433116138,0.056255957856774334,0.1,16,21.015511611522044,0.09503897525370122,0.0,0.0,0.00016769550362377437,0.030269370070763232,-0.0013457729999143873
83,0.02459989437717401,0.0006970828022869898,96,512,0.027074046619236472,0.07042033639736474,0.1,16,9.991761841223713,0.07001611970365047,0.001,0.0,7.757204559378132e-05,0.047545655271904984,-0.0022997107180014677
82,0.018500234986477435,0.000771848767919889,48,512,0.008948121825233102,0.08589862943626941,0.1,16,37.47249095328687,0.08760375734418631,0.005,0.0,-0.00014964890510667432,0.054404886589927474,-0.002869893234603048
80,0.036090753635120675,0.0009147848838562331,24,512,0.01849751649424434,0.09985930304974318,0.1,16,3.563551132143933,0.06258563172072172,0.005,0.0,-0.00020139617576770265,0.06871444650906955,-0.00363711850122118
84,0.023079555538469514,0.0007926023093919346,24,256,0.023242999240756037,0.08989305570721627,0.1,16,10.45705100408884,0.09700997937470675,0.01,0.0,-0.0003751825249669185,0.04995884106355025,-0.002873124578144431
